"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","link_pls","anzahl_oeffentliche_pp","id","davon_behinderten_pp","davon_elektro_pp","davon_frauen_pp","davon_klein_pp","anzahl_mobility_pp","geometry"
"","Pfingstweidstrasse 101","","10","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Migros Herdern","","10000445","","","","","","","","","","","","","","","","","ph10000445","","","","","","","","","","","","","","569","10000445","10","2","0","9","0","POINT (2680816.8 1249375.2)"
"","Wagnergasse 16","","2","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Migros Kreuzplatz","","10000509","","","","","","","","","","","","","","","","","ph10000509","","","","","","","","","","","","","","25","10000509","2","0","0","0","0","POINT (2684229.2 1246547.8)"
"","Gasometerstrasse 47","","6","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Migros Limmatplatz","","10000429","","","","","","","","","","","","","","","","","ph10000429","","","","","","","","","","","","","","397","10000429","6","2","0","8","0","POINT (2682467.8 1248883.4)"
"","Frohburgstrasse 1","","2","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Migros Rigiplatz","","10000416","","","","","","","","","","","","","","","","","ph10000416","","","","","","","","","","","","","","55","10000416","2","0","0","0","0","POINT (2683810.2 1248984.8)"
"","Schaffhauserstrasse 470a","","3","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Migros Seebach","","10000471","","","","","","","","","","","","","","","","","ph10000471","","","","","","","","","","","","","","69","10000471","3","0","0","0","0","POINT (2683743.8 1252675.1)"
"","Burstwiesenstrasse 5","","2","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Migros Wiediker Markt","","10000398","","","","","","","","","","","","","","","","","ph10000398","","","","","","","","","","","","","","118","10000398","2","0","0","0","0","POINT (2680773.8 1247148.4)"
"","Etzelstrasse 3","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Migros Wollishofen","","10000492","","","","","","","","","","","","","","","","","ph10000492","","","","","","","","","","","","","","35","10000492","0","0","0","0","0","POINT (2682492 1244328.5)"
"","Seefeldstrasse 229a","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Mühle Tiefenbrunnen","","10000452","","","","","","","","","","","","","","","","","ph10000452","","","","","","","","","","","","","","37","10000452","0","0","0","0","0","POINT (2684861.8 1245083)"
"","Naglerwiesenstrasse 2","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Naglerwiesenstrasse","","10000469","","","","","","","","","","","","","","","","","ph10000469","","","","","","","","","","","","","","21","10000469","0","0","0","0","0","POINT (2678810.8 1251860.4)"
"","Siewerdtstrasse 84","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Neudorf","","10000415","","","","","","","","","","","","","","","","","ph10000415","","","","","","","","","","","","","","110","10000415","0","0","0","0","0","POINT (2684297.5 1251852.5)"
