NHSTID,DIVA_NR,Y_KOORD,X_KOORD,CHSTNAME,CNAME,VTYP,HSTTYP,HAFAS_PRIO,LINKTEXT,ZONEN,SYMB_CODE,SYMB_TEXT,LINIEN,E,N,fixed_geometry,district_id
8591382,2572,,,"Zürich, Sternen Oerlikon",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"10,11,14,61,62,75,94,N6,N11",2683594,1251618,POINT (47.41006990644386 8.546231030421062),11
8591112,694,,,"Zürich, Dorflinde",Zürich,Bus,&nbsp;,0,,110,2,Bus,75,2683826,1251325,POINT (47.40740538896681 8.549249638972741),11
8591411,2779,,,"Zürich, Vogelsangstrasse",Zürich,Trolleybus,&nbsp;,0,,110,2,Bus,33,2683850,1248672,POINT (47.38354311829112 8.549070200770348),6
8591239,1472,,,"Zürich, Kunsthaus",Zürich,"Tram,Trolleybus",&nbsp;,2,,110,3,Bus Tram,"3,5,9,31",2683876,1247215,POINT (47.3704365009735 8.549141430698866),1
8591273,3154,,,"Zürich, Messe/Hallenstadion",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"11,61,62,94,N11",2683883,1251721,POINT (47.41095946039507 8.550079049152776),11
8591376,2451,,,"Zürich, Spyriplatz",Zürich,Trolleybus,&nbsp;,0,,110,2,Bus,33,2684071,1248535,POINT (47.38228286803702 8.551970823253358),7
8591156,971,,,"Zürich, Germaniastrasse",Zürich,"Bus,Standseilbahn",&nbsp;,0,,110,9,Bergbahn Bus,"23,39",2684082,1249074,POINT (47.38712886470562 8.552217764522641),6
8530473,2090,,,"Zürich, Rigiblick",Zürich,"Bus,Standseilbahn",&nbsp;,0,,110,9,Bergbahn Bus,"23,39",2684172,1249098,POINT (47.38733321099513 8.553414091068516),6
8576198,1286,,,"Zürich, Höschgasse",Zürich,"Bus,Tram,Trolleybus",&nbsp;,2,,110,3,Bus Tram,"2,4,33,912,916,N18",2684278,1245837,POINT (47.35799234103848 8.554203828005679),8
8591230,1407,,,"Zürich, Kirche Fluntern",Zürich,"Bus,Tram,Trolleybus",&nbsp;,2,,110,3,Bus Tram,"5,6,33,751,N17",2684640,1247889,POINT (47.37640032668426 8.559382847085672),7
8591196,3469,,,"Zürich, Hofstrasse",Zürich,Trolleybus,&nbsp;,0,,110,2,Bus,33,2684809,1247554,POINT (47.3733658292259 8.561556875223364),7
8591137,3466,,,"Zürich, Freiestrasse",Zürich,Trolleybus,&nbsp;,0,,110,2,Bus,"31,33",2684933,1246381,POINT (47.36280065910274 8.562975975912023),7
8591113,708,,,"Zürich, Dreispitz",Zürich,Bus,&nbsp;,0,,110,2,Bus,"61,62,94,N11",2685173,1251721,POINT (47.41079386531867 8.567169282162252),12
8591044,92,,,"Zürich, Am Suteracher",Zürich,Bus,&nbsp;,0,,110,2,Bus,35,2677852,1249413,POINT (47.39094332359794 8.469775711830403),9
8591130,852,,,"Zürich, Feusisbergli",Zürich,Bus,&nbsp;,0,,110,2,Bus,35,2677940,1249606,POINT (47.39266865009934 8.470974764695788),9
8591408,2754,,,"Zürich, Untermoosstrasse",Zürich,Bus,&nbsp;,0,,110,2,Bus,"67,80,N13",2678896,1248191,POINT (47.37982914790125 8.483386415274992),9
8591056,3022,,,"Zürich, Bahnhof Altstetten",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"31,35,78,80,83,89,N2,N13",2679256,1249450,POINT (47.39110866084621 8.488376068301445),9
8591126,840,,,"Zürich, Fellenbergstrasse",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"3,67",2679282,1247739,POINT (47.37571777950242 8.488417253478959),9
8591222,1364,,,"Zürich, Kappeli",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"2,83,89",2679756,1248796,POINT (47.38516662936114 8.494881219235003),9
8591446,3015,,,"Zürich, Zwielplatz",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"13,80,N4",2679857,1250690,POINT (47.40218786758429 8.496556795550728),10
8591401,2682,,,"Zürich, Triemlispital",Zürich,Bus,&nbsp;,0,,110,2,Bus,80,2679936,1246664,POINT (47.36597081109666 8.496884035639519),3
8591223,3138,,,"Zürich, Kappenbühlweg",Zürich,Bus,&nbsp;,0,,110,2,Bus,38,2679983,1250778,POINT (47.40296399361215 8.498241560322295),10
8503053,12302,,,Zürich Schweighof,Zürich,S-Bahn,"<IMG SRC=""../gisbrowser/_img/ZVV/HstTyp4.gif"" ALT=""S-Bahn Haltestelle"">",4,,110,1,Bahn,S10,2680410,1246561,POINT (47.36498682447763 8.503139974858337),3
8576262,2968,,,"Zürich, Zehntenhausplatz",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"32,37,61,62,491,N1",2680579,1252587,POINT (47.41916026244788 8.506462509096199),11
8591338,3458,,,"Zürich, Schauenberg",Zürich,Bus,&nbsp;,0,,110,2,Bus,37,2680619,1252258,POINT (47.41619656964907 8.50693317533921),11
8591039,67,,,"Zürich, Alte Trotte",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"13,N4",2680701,1250191,POINT (47.39759730989542 8.507646539716491),10
8591407,2737,,,"Zürich, Unteraffoltern",Zürich,Bus,&nbsp;,0,,110,2,Bus,"62,N1",2680977,1253196,POINT (47.42458834144841 8.511846542660322),11
8503020,13029,,,Zürich Hardbrücke,Zürich,S-Bahn,"<IMG SRC=""../gisbrowser/_img/ZVV/HstTyp4.gif"" ALT=""S-Bahn Haltestelle"">",4,,110,1,Bahn,"SN1,S3,S5,SN5,S6,SN6,S7,SN7,S9,SN9,S11,S12,S15,S16,S21",2681418,1248850,POINT (47.38544897632961 8.516899159421625),4
8591133,868,,,"Zürich, Flühgasse",Zürich,Bus,&nbsp;,0,,110,2,Bus,77,2685444,1245016,POINT (47.35045865925331 8.569479311798062),8
8591120,3594,,,"Zürich, EPI-Klinik",Zürich,Bus,&nbsp;,0,,110,2,Bus,77,2685536,1244816,POINT (47.34864805086947 8.570658581653964),8
8591221,1362,,,"Zürich, Kapfstrasse",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"31,N16,N19",2685557,1246207,POINT (47.36115510614705 8.571202156254726),7
8591212,1315,,,"Zürich, Im Walder",Zürich,Bus,&nbsp;,0,,110,2,Bus,77,2685817,1244761,POINT (47.34811689503514 8.574366445072361),8
8591325,2107,,,"Zürich, Roswiesen",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"7,N11",2685926,1250860,POINT (47.40295287403449 8.57697967133028),12
8591443,4,,,"Zürich, Zoo/Forrenweid",Zürich,Bus,&nbsp;,0,,110,2,Bus,751,2686046,1248365,POINT (47.38049902545141 8.578089271142023),7
8591115,713,,,"Zürich, Drusbergstrasse",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"31,N16,N19",2686135,1246125,POINT (47.3603423669598 8.578836693532871),7
8591300,3765,,,"Zürich, Stodolastrasse",Zürich,Bus,&nbsp;,0,,110,2,Bus,91,2687026,1245756,POINT (47.35690678294999 8.59055790942144),7
8591445,3011,,,"Zürich, Zweiackerstrasse",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"31,N16",2687579,1245780,POINT (47.35704937664393 8.59788140577899),7
8591147,899,,,"Zürich, Friedhof Witikon",Zürich,Bus,&nbsp;,0,,110,2,Bus,"701,703,704,N16,N19",2687934,1246267,POINT (47.36138185185548 8.602675362783469),7
8591259,1579,,,"Zürich, Lochergut",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"2,3,N14",2681479,1247735,POINT (47.37541380586801 8.517503916484952),4
8503051,12544,,,Zürich Binz,Zürich,S-Bahn,"<IMG SRC=""../gisbrowser/_img/ZVV/HstTyp4.gif"" ALT=""S-Bahn Haltestelle"">",4,,110,1,Bahn,S10,2681578,1246315,POINT (47.36263090198923 8.518555888917072),3
8591341,2256,,,"Zürich, Schmiede Wiedikon",Zürich,"Bus,Tram,Trolleybus",&nbsp;,2,,110,3,Bus Tram,"9,14,67,72,76,215,220,235,236,245,350,N5",2681605,1247149,POINT (47.37012807650715 8.519065269321606),3
8591061,2547,,,"Zürich, Bahnhof Leimbach",Zürich,Bus,&nbsp;,0,,110,2,Bus,"70,N12",2681626,1243049,POINT (47.33325226850778 8.518596253725049),2
8591247,1528,,,"Zürich, Lehenstrasse",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"46,N8",2681689,1250043,POINT (47.39614450306231 8.520705595756622),10
8591240,1595,,,"Zürich, Lägernstrasse",Zürich,Trolleybus,&nbsp;,0,,110,2,Bus,32,2682555,1250029,POINT (47.39591062610436 8.532172870020855),10
8591058,3026,,,"Zürich, Bahnhof Enge",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"5,7,N15",2682559,1246495,POINT (47.36412756403759 8.531573894365497),2
8591296,3786,,,"Zürich, Okenstrasse",Zürich,Trolleybus,&nbsp;,0,,110,2,Bus,46,2682716,1249153,POINT (47.38801226979795 8.53414326163891),10
8516661,14012,,,Zürich HB Museum,Zürich,,&nbsp;,0,,,99,,,2683058,1248155,POINT (47.37899387858626 8.538486982117016),1
8591105,615,,,"Zürich, Bürkliplatz",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"2,5,8,9,11,161,165",2683250,1246773,POINT (47.36654080568354 8.540772112735793),1
8591062,6255,,,"Zürich, Bahnhof Oerlikon Nord",Zürich,Bus,&nbsp;,0,,110,2,Bus,"64,80,N7",2683417,1251875,POINT (47.41240362022607 8.543934081753671),11
8580449,3034,,,"Zürich, Bahnhof Oerlikon",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"11,61,62,94,768,781,787,N11,N78",2683489,1251772,POINT (47.41146818960042 8.544868746143013),11
8591386,2598,,,"Zürich, Strickhof",Zürich,Bus,&nbsp;,0,,110,2,Bus,39,2683719,1249780,POINT (47.39352437528463 8.547542913507369),6
8591256,1552,,,"Zürich, Leutschenbach",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"10,11,781,787,N78",2683971,1252107,POINT (47.4144196367618 8.551317415454291),11
8591220,1359,,,"Zürich, Kantonsschule",Zürich,Tram,&nbsp;,2,,110,5,Tram,"5,9",2683977,1247470,POINT (47.37271694475386 8.55052632524793),1
8591172,1093,,,"Zürich, Hagenholz",Zürich,Bus,&nbsp;,0,,110,2,Bus,"781,787,N78",2684262,1252117,POINT (47.414472393488 8.555174798480101),11
8591175,3760,,,"Zürich, Hallenbad Oerlikon",Zürich,Bus,&nbsp;,0,,110,2,Bus,"61,62,94,N11",2684320,1251699,POINT (47.4107057953423 8.555864393104715),11
8591094,3645,,,"Zürich, Botanischer Garten",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"33,77",2684550,1245991,POINT (47.35934248736744 8.557832845964231),8
