adr_inter,adresse,adrzus_int,behindertenparkplatz,bemerkung,ccmail,da,datum,datum_cms,dep,editor,erforderlichedokumente,fax,hausnummer,hindernisfreiheit,infrastruktur,isbetriebsferien_gebaeude,isbetriebsferien_schalter,kategorie,mail,name,namenzus,objectid,oeffnungszeiten_gebaeude_di,oeffnungszeiten_gebaeude_do,oeffnungszeiten_gebaeude_fr,oeffnungszeiten_gebaeude_mi,oeffnungszeiten_gebaeude_mo,oeffnungszeiten_gebaeude_sa,oeffnungszeiten_gebaeude_so,oeffnungszeiten_schalter_di,oeffnungszeiten_schalter_do,oeffnungszeiten_schalter_fr,oeffnungszeiten_schalter_mi,oeffnungszeiten_schalter_mo,oeffnungszeiten_schalter_sa,oeffnungszeiten_schalter_so,ort,plz,poi_id,postadresse,publish_internet,strasse,suchen,tel,tel2,www,zahlungsmittel_internet,zahlungsmittel_schalter,zahlungsmittel_telefon,zvv_label,zvv_link,link_pls,anzahl_oeffentliche_pp,id,davon_behinderten_pp,davon_elektro_pp,davon_frauen_pp,davon_klein_pp,anzahl_mobility_pp,geometry,fixed_geometry,district_id
,Toblerstrasse 55,,4,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Bethanien,,10000521,,,,,,,,,,,,,,,,,ph10000521,,,,,,,,,,,,,,92,10000521,4,0,0,0,0,POINT (2684499 1248324.8),POINT (47.38033771728831 8.557598335942808),7
,Ruedi-Walter-Strasse 2,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Binzmühlepark,,10000476,,,,,,,,,,,,,,,,,ph10000476,,,,,,,,,,,,,,27,10000476,2,0,0,0,0,POINT (2683252.8 1252123.6),POINT (47.41466012498304 8.541804957267727),11
,Beethovenstrasse 35,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Bleicherweg,,49,,,,,,,,,,,,,,,,,ph049,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/bleicherweg.jsp?pid=bleicherweg,263,49,0,0,13,0,0,POINT (2682865.2 1246860.1),POINT (47.3673726267756 8.535694530726973),2
,Limmattalstrasse 400,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Bombach,,10000451,,,,,,,,,,,,,,,,,ph10000451,,,,,,,,,,,,,,21,10000451,0,0,0,0,0,POINT (2678599.5 1251022.1),POINT (47.40532583975055 8.479957995441367),10
,Wannerstrasse 6,,4,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Brunaupark,,10000407,,,,,,,,,,,,,,,,,ph10000407,,,,,,,,,,,,,,273,10000407,4,0,0,0,0,POINT (2681633.8 1245795),POINT (47.35794740335834 8.51919969315777),3
,Pestalozzistrasse 7,,1,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Caréum,,10000484,,,,,,,,,,,,,,,,,ph10000484,,,,,,,,,,,,,,50,10000484,1,0,0,0,0,POINT (2684234.5 1247696.6),POINT (47.37472197142893 8.553977948799176),7
,Sophie-Taeuber-Strasse 4,,7,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Center Eleven,,19,,,,,,,,,,,,,,,,,ph019,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/center_11.jsp?pid=center_11,361,19,7,0,9,2,0,POINT (2683140.2 1251918.1),POINT (47.41282623756867 8.540274867735269),11
,Löwenstrasse 19,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Centrum Garage,,10000503,,,,,,,,,,,,,,,,,ph10000503,,,,,,,,,,,,,,34,10000503,0,0,0,4,0,POINT (2682816.8 1247594.5),POINT (47.37398345496756 8.535189694783334),1
,Berninastrasse 45,,3,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,City Bernina,,10000401,,,,,,,,,,,,,,,,,ph10000401,,,,,,,,,,,,,,51,10000401,3,0,0,0,0,POINT (2683629.8 1250909.5),POINT (47.40369362993668 8.54657277621274),11
,Gessnerallee 14,,12,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,City Parking,,58,,,,,,,,,,,,,,,,,ph058,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/cp.jsp?pid=cp,607,58,12,4,24,0,0,POINT (2682837.2 1247784.5),POINT (47.37568963221475 8.535494935492377),1
,Pfingstweidstrasse 51,,3,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,City West,,10000519,,,,,,,,,,,,,,,,,ph10000519,,,,,,,,,,,,,,67,10000519,3,0,0,0,0,POINT (2681251.8 1249198.4),POINT (47.38860278690181 8.514761606751724),5
,Affolternstrasse 56,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Cityport,,20,,,,,,,,,,,,,,,,,ph020,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/cityport.jsp?pid=cityport,151,20,2,2,6,0,0,POINT (2683190 1251701.9),POINT (47.4108756041123 8.540894418505918),11
,Frankentalerstrasse 20b,,1,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Coop Frankenthal ,,10000530,,,,,,,,,,,,,,,,,ph10000530,,,,,,,,,,,,,,18,10000530,1,0,0,0,0,POINT (2678725.8 1251124.4),POINT (47.40623077653871 8.481649109645668),10
,Kalkbreitestrasse 117,,3,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Coop Goldbrunnenplatz,,10000424,,,,,,,,,,,,,,,,,ph10000424,,,,,,,,,,,,,,88,10000424,3,0,0,0,0,POINT (2681336 1247270.8),POINT (47.37125673080955 8.515526319598678),3
,Nansenstrasse 16,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Coop Krone,,10000449,,,,,,,,,,,,,,,,,ph10000449,,,,,,,,,,,,,,30,10000449,0,0,0,1,0,POINT (2683499.2 1251715.8),POINT (47.4109614751009 8.544993381750439),11
,Leimbachstrasse 215c,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Coop Leimbach,,10000494,,,,,,,,,,,,,,,,,ph10000494,,,,,,,,,,,,,,24,10000494,0,0,0,0,0,POINT (2681338.2 1242269.4),POINT (47.32627647314786 8.514647507286881),2
,Zollikerstrasse 3,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Coop Neumünster,,10000493,,,,,,,,,,,,,,,,,ph10000493,,,,,,,,,,,,,,33,10000493,0,0,0,0,0,POINT (2684308.5 1246507.5),POINT (47.36401850354617 8.554733725689468),8
,Scheffelstrasse 14,,1,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Coop Nordbrücke,,10000460,,,,,,,,,,,,,,,,,ph10000460,,,,,,,,,,,,,,29,10000460,1,0,0,0,0,POINT (2682368.5 1249832.4),POINT (47.39416588604528 8.529666548812253),10
,Am Suteracher 14,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Coop Suteracher,,10000487,,,,,,,,,,,,,,,,,ph10000487,,,,,,,,,,,,,,10,10000487,0,0,0,0,0,POINT (2677999.8 1249285.8),POINT (47.38978187564832 8.47171092139029),9
,Seefeldstrasse 199,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Coop Tiefenbrunnen,,10000466,,,,,,,,,,,,,,,,,ph10000466,,,,,,,,,,,,,,20,10000466,0,0,0,0,0,POINT (2684650.8 1245318.1),POINT (47.35327789837638 8.559039805822376),8
,Loorenstrasse 40,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Coop Witikon,,10000490,,,,,,,,,,,,,,,,,ph10000490,,,,,,,,,,,,,,12,10000490,0,0,0,0,0,POINT (2687349.5 1246159.2),POINT (47.36049009835637 8.59491798462188),7
,Alte Kalchbühlstrasse 15,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Coop Wollishofen,,10000465,,,,,,,,,,,,,,,,,ph10000465,,,,,,,,,,,,,,44,10000465,2,0,0,0,0,POINT (2682517.8 1243816.2),POINT (47.34004108239265 8.530535122842139),2
,Bienenstrasse 9,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Crowne Plaza,,61,,,,,,,,,,,,,,,,,ph061,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/crowne_plaza.jsp?pid=crowne_plaza,310,61,0,0,20,0,0,POINT (2680667 1248362),POINT (47.38115258057421 8.506866415593285),4
,Altstetterstrasse 332,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Denner Bockhorn,,10000470,,,,,,,,,,,,,,,,,ph10000470,,,,,,,,,,,,,,18,10000470,0,0,0,0,0,POINT (2678951.8 1247754.9),POINT (47.37590042109287 8.484048318370593),9
,Forchstrasse 340,,6,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Der Balgrist,,10000525,,,,,,,,,,,,,,,,,ph10000525,,,,,,,,,,,,,,56,10000525,6,2,0,0,0,POINT (2685908.5 1245339.4),POINT (47.35330674607678 8.575688141446307),8
,Kurhausstrasse 69,,5,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Dolder Grand Hotel,,10000497,,,,,,,,,,,,,,,,,ph10000497,,,,,,,,,,,,,,237,10000497,5,0,18,0,0,POINT (2685770.5 1247481.1),POINT (47.37258576404363 8.574272084432748),7
,Schwamendingenstrasse 31,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Dorflinde,,43,,,,,,,,,,,,,,,,,ph043,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/dorflinde.jsp?pid=dorflinde,48,43,0,0,0,0,0,POINT (2683788 1251345.5),POINT (47.40759458690859 8.548750079848272),11
,Rämistrasse 101,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,ETH Hauptgebäude,,10000402,,,,,,,,,,,,,,,,,ph10000402,,,,,,,,,,,,,,139,10000402,2,0,0,0,0,POINT (2683811.2 1247824.1),POINT (47.37592260106548 8.548397638129558),1
,Hönggerbergring 20,,5,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,ETH Hönggerberg,,10000433,,,,,,,,,,,,,,,,,ph10000433,,,,,,,,,,,,,,380,10000433,5,0,20,0,2,POINT (2680562.2 1251411.6),POINT (47.40859157751083 8.506028042275513),10
,John-von-Neumann-Weg 9,,5,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,ETH Hönggerberg (HPG),,10000434,,,,,,,,,,,,,,,,,ph10000434,,,,,,,,,,,,,,599,10000434,5,0,2,0,0,POINT (2680791.5 1251363.5),POINT (47.40813090710085 8.509057068219056),10
,Freischützgasse 30,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Europaallee,,10000507,,,,,,,,,,,,,,,,,ph10000507,,,,,,,,,,,,,,27,10000507,2,0,0,0,30,POINT (2682728.2 1248066.5),POINT (47.37823945730457 8.534103948866322),4
,Riesbachstrasse 6,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Feldegg,,10,,,,,,,,,,,,,,,,,ph010,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/feldegg.jsp?pid=feldegg,147,10,2,2,0,0,0,POINT (2684223 1246102),POINT (47.36038261937629 8.553525731608508),8
,Schwamendingenstrasse 14,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Flora,,10000448,,,,,,,,,,,,,,,,,ph10000448,,,,,,,,,,,,,,29,10000448,0,0,0,0,0,POINT (2683699 1251350.4),POINT (47.40764997187605 8.547571973983922),11
,Löwenstrasse 50a,,6,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Globus,,25,,,,,,,,,,,,,,,,,ph025,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/globus.jsp?pid=globus,139,25,6,2,0,0,0,POINT (2683004.5 1247827.5),POINT (47.37605529353606 8.537717884836345),1
,Mürtschenstrasse 22,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Greenpark,,10000481,,,,,,,,,,,,,,,,,ph10000481,,,,,,,,,,,,,,48,10000481,2,0,0,0,0,POINT (2679918.5 1249072.4),POINT (47.38763271462764 8.497082412917253),9
,Hofwiesenstrasse 141,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Guggach,,10000397,,,,,,,,,,,,,,,,,ph10000397,,,,,,,,,,,,,,33,10000397,0,0,0,0,0,POINT (2682549.8 1250405.4),POINT (47.3992963628278 8.532173474910083),6
,Tellstrasse 48,,3,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Gull (Europaallee),,10000001,,,,,,,,,,,,,,,,,ph10000001,,,,,,,,,,,,,,13,10000001,3,0,0,0,0,POINT (2682432.5 1248235),POINT (47.37979190135673 8.530219860239061),4
,Klebestrasse 3,,1,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Hallenbad Leimbach,,10000396,,,,,,,,,,,,,,,,,ph10000396,,,,,,,,,,,,,,13,10000396,1,0,0,0,0,POINT (2681274.8 1242306.4),POINT (47.32661704996826 8.513815600871171),2
,Norastrasse 38,,6,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Hardau II,,5,,,,,,,,,,,,,,,,,ph005,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/hardau.jsp?pid=hardau,113,5,6,0,0,1,0,POINT (2680859.2 1248423),POINT (47.38167761839483 8.509422351044851),4
,Hardturmstrasse 417,,1,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Hardturm,,10000444,,,,,,,,,,,,,,,,,ph10000444,,,,,,,,,,,,,,270,10000444,1,0,0,0,0,POINT (2680377.2 1249699.2),POINT (47.39321396326051 8.503269407305467),5
,Pfingstweidstrasse 104,,6,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Hardturmpark,,10000524,,,,,,,,,,,,,,,,,ph10000524,,,,,,,,,,,,,,145,10000524,6,0,0,0,0,POINT (2680815 1249460.6),POINT (47.39101457934359 8.509024509276809),5
,Sihlquai 41,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Hauptbahnhof,,6,,,,,,,,,,,,,,,,,ph006,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/hb.jsp?pid=hb,175,6,2,3,0,0,0,POINT (2682987 1248439.8),POINT (47.38156413325189 8.537599729569664),5
,Molkenstrasse 9,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Helvetiaplatz,,529,,,,,,,,,,,,,,,,,ph529,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/helvetia.jsp?pid=helvetia,66,529,2,2,0,1,0,POINT (2682192.2 1247855.6),POINT (47.37640983305729 8.526968471911957),4
,Wasserschöpfi 75,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Heuried Bad und Eisbahn,,10000426,,,,,,,,,,,,,,,,,ph10000426,,,,,,,,,,,,,,113,10000426,0,0,0,16,0,POINT (2680618.8 1246940),POINT (47.36836983249204 8.505972090314835),3
,Rämistrasse 22a,,7,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Hohe Promenade,,22,,,,,,,,,,,,,,,,,ph022,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/promenade.jsp?pid=promenade,497,22,7,4,12,0,0,POINT (2683793.2 1247020.8),POINT (47.36870052220104 8.548008959102019),1
,Regensdorferstrasse 13,,1,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Höngger Märt,,10000413,,,,,,,,,,,,,,,,,ph10000413,,,,,,,,,,,,,,116,10000413,1,0,0,0,0,POINT (2679964.8 1250781.2),POINT (47.40299498235846 8.498001047808808),10
,Campanellaweg 6a,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Hotel Ramada,,10000520,,,,,,,,,,,,,,,,,ph10000520,,,,,,,,,,,,,,69,10000520,2,0,0,0,0,POINT (2680188.2 1248476.2),POINT (47.38223807482206 8.500547095291505),9
,Orellistrasse 21,,3,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Hotel Zürichberg,,10000498,,,,,,,,,,,,,,,,,ph10000498,,,,,,,,,,,,,,77,10000498,3,1,15,0,0,POINT (2685210.8 1248586.9),POINT (47.38260318881818 8.567072922297459),7
,Brandschenkestrasse 132,,3,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Hürlimann,,10000478,,,,,,,,,,,,,,,,,ph10000478,,,,,,,,,,,,,,55,10000478,3,0,0,0,0,POINT (2682137 1246523.2),POINT (47.36443390586199 8.525993181950845),2
,Regensdorferstrasse 16a,,3,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Im Brühl,,10000425,,,,,,,,,,,,,,,,,ph10000425,,,,,,,,,,,,,,63,10000425,3,0,0,0,0,POINT (2679963.5 1250851.2),POINT (47.40362467513842 8.497996345753426),10
,Leutschenbachstrasse 38b,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Imperial-Geschäftshaus,,10000458,,,,,,,,,,,,,,,,,ph10000458,,,,,,,,,,,,,,187,10000458,0,0,2,0,0,POINT (2684096.2 1252182.2),POINT (47.41507994942304 8.552990357517439),11
,Steinmühleplatz 5,,1,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Jelmoli,,23,,,,,,,,,,,,,,,,,ph023,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/jelmoli.jsp?pid=jelmoli,218,23,1,2,0,0,0,POINT (2682916 1247580),POINT (47.3738405759498 8.536500329468945),1
,Jungholzstrasse 19,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Jungholz,,21,,,,,,,,,,,,,,,,,ph021,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/jungholz.jsp?pid=jungholz,119,21,0,0,7,0,0,POINT (2683408.5 1251934.6),POINT (47.41294069508318 8.543832590098463),11
,Birchstrasse 87,,8,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Kantonsschule Oerlikon,,10000461,,,,,,,,,,,,,,,,,ph10000461,,,,,,,,,,,,,,113,10000461,8,0,0,0,0,POINT (2682843.2 1251303),POINT (47.40733190656059 8.536225985633966),11
,Zürichbergstrasse 12,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Kantonsschule Rämibühl,,10000418,,,,,,,,,,,,,,,,,ph10000418,,,,,,,,,,,,,,97,10000418,0,0,0,0,0,POINT (2684087.2 1247461.9),POINT (47.37263004542508 8.551983715840285),7
,Steinwiesstrasse 80,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Kinderspital 1,,10000508,,,,,,,,,,,,,,,,,ph10000508,,,,,,,,,,,,,,50,10000508,2,0,0,0,0,POINT (2684470.5 1247359.9),POINT (47.37166370036412 8.557038875032372),7
,Enzenbühlstrasse 53,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Klinik Hirslanden,,10000522,,,,,,,,,,,,,,,,,ph10000522,,,,,,,,,,,,,,119,10000522,2,0,0,0,0,POINT (2685942.8 1245037.6),POINT (47.35058807545791 8.57608416491764),8
,Badenerstrasse 705,,1,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Krone,,10000518,,,,,,,,,,,,,,,,,ph10000518,,,,,,,,,,,,,,34,10000518,1,0,0,0,0,POINT (2678896.2 1249124.4),POINT (47.3882235940054 8.483553636432228),9
,Sihlquai 305a,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,KV Zurich Business School,,10000411,,,,,,,,,,,,,,,,,ph10000411,,,,,,,,,,,,,,129,10000411,2,0,11,0,0,POINT (2682024.5 1249386.1),POINT (47.39019508265851 8.525028718518314),5
,Baslerstrasse 52,,14,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Letzipark,,10000412,,,,,,,,,,,,,,,,,ph10000412,,,,,,,,,,,,,,1267,10000412,14,0,0,7,0,POINT (2679943.8 1248932.4),POINT (47.38637056859664 8.49739243575725),9
,Ueberlandstrasse 381,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Lidl Schwamendingen,,10000486,,,,,,,,,,,,,,,,,ph10000486,,,,,,,,,,,,,,28,10000486,2,0,0,0,0,POINT (2686493 1251406.8),POINT (47.40779613847101 8.584596056260015),12
,Hardturmstrasse 126b,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Limmat West,,10000454,,,,,,,,,,,,,,,,,ph10000454,,,,,,,,,,,,,,30,10000454,0,0,0,0,0,POINT (2681108 1249750.2),POINT (47.39358304715721 8.512957338241192),5
,Spirgartenstrasse 5,,1,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Lindenplatz,,10000523,,,,,,,,,,,,,,,,,ph10000523,,,,,,,,,,,,,,38,10000523,1,0,0,0,0,POINT (2679008 1249026.5),POINT (47.38732973973917 8.485016890916514),9
,Hopfenstrasse 11,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Manesseparkhaus,,10000514,,,,,,,,,,,,,,,,,ph10000514,,,,,,,,,,,,,,16,10000514,0,0,0,0,0,POINT (2681735.8 1246593.2),POINT (47.36511332377701 8.520695362009739),3
,Neumühlequai 42,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Marriot I,,10000408,,,,,,,,,,,,,,,,,ph10000408,,,,,,,,,,,,,,73,10000408,0,2,0,0,0,POINT (2683202.5 1248539.4),POINT (47.38243269164246 8.540471682782293),6
,Wasserwerkstrasse 8,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Marriot II,,10000409,,,,,,,,,,,,,,,,,ph10000409,,,,,,,,,,,,,,29,10000409,0,0,0,0,0,POINT (2683246.8 1248559.1),POINT (47.38260426455771 8.541061933239771),6
,Ellen-Widmann-Weg 2,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Max Bill-Platz,,59,,,,,,,,,,,,,,,,,ph059,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/max_bill_platz.jsp?pid=max_bill_platz,98,59,2,0,0,0,0,POINT (2683049.2 1252073.2),POINT (47.41423257620131 8.539098048542739),11
,Limmattalstrasse 166,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Meierhofplatz 1,,10000427,,,,,,,,,,,,,,,,,ph10000427,,,,,,,,,,,,,,13,10000427,0,0,0,0,0,POINT (2680145 1250662.9),POINT (47.40190916480886 8.500366849183516),10
,Hagenholzstrasse 50,,7,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Messe,,41,,,,,,,,,,,,,,,,,ph041,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/messe.jsp?pid=messe,1992,41,7,0,24,24,0,POINT (2684128.8 1252050.9),POINT (47.4138949729976 8.553397569432203),11
,Albisriederstrasse 367,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Migros Albisrieden,,10000462,,,,,,,,,,,,,,,,,ph10000462,,,,,,,,,,,,,,25,10000462,0,0,0,0,0,POINT (2679060.2 1247656.1),POINT (47.37499887102036 8.485466052784865),9
,Löwenstrasse 33,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Migros City,,10000527,,,,,,,,,,,,,,,,,ph10000527,,,,,,,,,,,,,,37,10000527,2,0,0,0,0,POINT (2682895 1247721.8),POINT (47.37511847877477 8.536248569102048),1
,Pfingstweidstrasse 101,,10,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Migros Herdern,,10000445,,,,,,,,,,,,,,,,,ph10000445,,,,,,,,,,,,,,569,10000445,10,2,0,9,0,POINT (2680816.8 1249375.2),POINT (47.39024632433063 8.509032919369673),5
