bustop_id,busline_name
8591173,N11
8591164,23
8576196,2
8576196,4
8576196,912
8576196,916
8576196,N18
8530813,8
8530813,11
8530813,31
8530813,S18
8530813,SN18
8591330,61
8591330,62
8591330,94
8591330,N11
8591444,6
8591444,N17
8591091,
8591345,35
8591345,67
8591345,78
8591345,N13
8590318,2
8590318,35
8590318,N2
8591320,89
8591320,485
8591320,N4
8591372,35
8591358,46
8591358,N4
8591057,4
8591057,304
8591057,307
8591057,308
8591057,485
8591035,83
8591035,89
8503610,9
8503610,14
8503610,33
8503610,80
8503610,215
8503610,220
8503610,235
8503610,236
8503610,245
8503610,350
8503610,N14
8591090,61
8591170,67
8591236,3
8591236,33
8591236,72
8591236,83
8591236,N14
8503008,S6
8503008,SN6
8503008,S21
8591149,32
8503052,S10
8591249,37
8591249,80
8591226,46
8591226,N8
8591398,4
8591195,32
8591385,10
8591385,13
8591385,32
8591385,89
8591385,N5
8591391,4
8591047,61
8591047,62
8591047,79
8591047,94
8591047,787
8591047,N11
8591047,N78
8591232,
8591340,31
8591340,N16
8591340,N19
8530811,11
8530811,S18
8530811,SN18
8591181,9
8591181,N11
8591271,7
8591271,N11
8587652,9
8587652,94
8587652,759
8587652,787
8587652,N11
8587652,N78
8503147,SN1
8503147,S3
8503147,S9
8503147,SN9
8503147,S11
8503147,S12
8591824,76
8591824,N5
8591350,62
8591350,N1
8503093,S4
8503093,SN4
8591268,70
8591268,N12
8591366,5
8591366,10
8591366,13
8591366,72
8591366,200
8591366,210
8591366,N12
8591306,4
8591306,6
8591306,13
8591306,N1
8591306,N4
8591306,N5
8591306,N7
8591306,N13
8591290,40
8591388,184
8591388,185
8591388,N12
8591279,7
8591279,66
8591279,70
8591279,72
8591279,184
8591279,185
8591279,N12
8591257,4
8591257,6
8591257,13
8591257,32
8591257,N1
8591257,N4
8591257,N5
8591257,N7
8591257,N13
8503090,S4
8503090,SN4
8503090,S10
8591100,7
8591100,N15
8503009,S8
8503009,SN8
8503009,S24
8503044,
8591384,7
8591384,8
8591384,10
8591384,13
8587347,161
8587347,165
8587347,N15
8591262,3
8591262,14
8591262,31
8591299,2
8591299,7
8591299,8
8591299,9
8591299,10
8591299,11
8591299,13
8591299,N1
8591299,N4
8591299,N6
8591299,N14
8591168,7
8591168,14
8591324,7
8591324,15
8591324,N6
8503447,3734
8591378,161
8591378,165
8591378,N15
8591207,742
8591207,N6
8588078,3
8588078,4
8588078,6
8588078,7
8588078,10
8588078,15
8588078,31
8588078,46
8588078,N2
8588078,N5
8588078,N6
8588078,N7
8588078,N8
8588078,N13
8591255,9
8591255,10
8591255,39
8591255,N11
8591362,9
8591362,10
8591362,23
8591362,33
8591362,N11
8591336,39
8591319,61
8591319,62
8591319,94
8591319,N11
8591152,75
8591152,N11
8591185,61
8591185,62
8591185,N11
8591394,25
8591198,33
8591136,13
8591136,89
8591136,304
8591136,308
8591136,485
8591136,N4
8591428,6
8591428,307
8591068,6
8591068,78
8591068,307
8591436,80
8591436,89
8591436,304
8591436,308
8573711,215
8573711,220
8573711,235
8573711,236
8573711,245
8573711,350
8591163,80
8503001,SN1
8503001,S5
8503001,SN5
8503001,S11
8503001,S12
8503001,S14
8503001,S19
8503001,S42
8591143,38
8591402,6
8591402,80
8591402,89
8591402,304
8591402,308
8591402,485
8591265,31
8591265,83
8591265,N2
8591441,73
8580912,9
8580912,14
8580912,89
8580912,215
8580912,220
8580912,235
8580912,236
8580912,245
8580912,350
8580912,N5
8591033,4
8591213,69
8591153,62
8591153,N1
8591038,2
8591038,3
8591038,33
8591038,72
8591038,83
8591038,N5
8591038,N14
8591448,2
8591448,3
8591448,N14
8591270,70
8591270,N12
8591060,8
8591060,33
8591060,72
8591060,83
8591060,N5
8591060,N8
8591349,7
8591349,9
8591349,61
8591349,62
8591349,75
8591349,79
8591349,N11
8591188,61
8591188,62
8591188,79
8591188,N11
8591360,91
8591162,701
8591162,703
8591162,704
8591162,N16
8591162,N19
8591302,38
8591302,69
8591329,5
8591329,10
8591329,13
8591329,89
8591329,200
8591329,210
8591329,444
8591329,445
8591269,72
8591269,76
8591269,N5
8580522,4
8580522,6
8580522,8
8580522,13
8580522,33
8580522,72
8580522,83
8580522,N1
8580522,N4
8580522,N5
8580522,N7
8580522,N8
8580522,N13
8591052,8
8591052,31
8591052,N2
8591052,N8
8591227,32
8591285,32
8591285,61
8591285,62
8591285,N1
8591204,66
8591204,72
8507183,66
8591392,66
8591392,72
8591392,N12
8503010,S2
8503010,S8
8503010,SN8
8503010,S24
8585407,
8591283,7
8591283,N15
8591064,8
8591251,46
8591292,33
8591430,66
8502495,70
8502495,184
8502495,185
8591352,161
8591352,165
8591352,N15
8591314,11
8591314,61
8591314,62
8591224,75
8591224,N6
8503446,3734
8591298,7
8591298,15
8591298,N6
8591327,4
8591327,15
8503006,S2
8503006,S3
8503006,S6
8503006,SN6
8503006,S7
8503006,SN7
8503006,S8
8503006,SN8
