objectid,poi_id,kategorie,name,anzahl_pp,markierung,sicherheit,dach,signalisation,bemerkung,gebuehr,oeffentlicher_grund,geometry,fixed_geometry,district_id
104577,vap104577,Zweirad,Beide,12,,,,,,0,öffentlicher Grund,POINT (2684340 1245416.1),POINT (47.35419909054539 8.554945151456419),8
104607,vap104607,Zweirad,Beide,4,,,,,,0,öffentlicher Grund,POINT (2687587.2 1245764),POINT (47.35690439390333 8.597986801930446),7
104608,vap104608,Zweirad,Beide,6,,,,,,0,öffentlicher Grund,POINT (2687605.2 1245731.5),POINT (47.35660971879787 8.598218670160042),7
104609,vap104609,Zweirad,Beide,6,,,,,,0,öffentlicher Grund,POINT (2687627.5 1245703.5),POINT (47.35635494150294 8.598508324891649),7
105018,vap105018,Zweirad,Beide,10,,,,,,0,öffentlicher Grund,POINT (2682102 1249732.1),POINT (47.39329712531784 8.526118569209656),10
2249,vap2249,Zweirad,Beide,5,,,,,,0,öffentlicher Grund,POINT (2678654.2 1251062.2),POINT (47.40567994369881 8.480689662989734),10
2251,vap2251,Zweirad,Beide,10,,,,,,0,öffentlicher Grund,POINT (2681120.2 1246832),POINT (47.36733701468854 8.512589945855545),3
3543,vap3543,Zweirad,Beide,38,,,,,,0,öffentlicher Grund,POINT (2682730.5 1246857.6),POINT (47.36736706658842 8.533910979937636),2
4173,vap4173,Zweirad,Beide,25,,,,,,0,öffentlicher Grund,POINT (2682530.8 1246493.6),POINT (47.36411850517903 8.531200361896197),2
4174,vap4174,Zweirad,Beide,10,,,,,,0,öffentlicher Grund,POINT (2682533 1246419.8),POINT (47.36345451579483 8.531215880543842),2
4176,vap4176,Zweirad,Beide,10,,,,,,0,öffentlicher Grund,POINT (2682532.2 1246403.2),POINT (47.36330532529836 8.531202231869033),2
5450,vap5450,Zweirad,Beide,30,,,,,,0,öffentlicher Grund,POINT (2681629.2 1243403.1),POINT (47.33643647450155 8.518703065136794),2
104548,vap104548,Zweirad,Beide,44,,,,,,0,öffentlicher Grund,POINT (2682232.8 1247828.6),POINT (47.3761619460409 8.527501044919921),4
104706,vap104706,Zweirad,Beide,16,,,,,,0,öffentlicher Grund,POINT (2680297.5 1248255.9),POINT (47.38024351452003 8.50195483545831),9
104831,vap104831,Zweirad,Beide,18,,,,,,0,öffentlicher Grund,POINT (2679895.2 1249081.5),POINT (47.3877173806957 8.496775485241198),9
104892,vap104892,Zweirad,Beide,7,,,,,,0,öffentlicher Grund,POINT (2684210 1247691.1),POINT (47.3746756395531 8.553652552149128),7
104635,vap104635,Zweirad,Beide,12,,,,,,0,öffentlicher Grund,POINT (2682506.2 1243400.1),POINT (47.33630034566609 8.530305054279308),2
104636,vap104636,Zweirad,Beide,12,,,,,,0,öffentlicher Grund,POINT (2682468.5 1243333),POINT (47.33570159851949 8.529793947179289),2
104645,vap104645,Zweirad,Beide,10,,,,,,0,öffentlicher Grund,POINT (2682370.8 1243028),POINT (47.33297079359728 8.528445370669704),2
104675,vap104675,Zweirad,Beide,12,,,,,,0,öffentlicher Grund,POINT (2681712 1243287),POINT (47.3353820733489 8.519777332159219),2
